date,temp_maximum,temp_minimum,temp_range,temp_set_max,precip_time_of_beginning,precip_time_of_ending,precip_amount,precip_snowfall_in_inches,precip_snow_depth_tobs,wind_dir_tobs,weather_state_tobs,wind_dir_day,weather_state_day,date_conv,precip_time_of_beginning_conv,location,county,state,lat,long
1,35,19,16,21,0.8125,DYL,0.03,0.25,NA,NW,PartlyCloudy,NW,PartlyCloudy,1940-01-01,1940-01-01T19:30:00Z,Stillwater,Payne,Okla,36,97
2,24,15,19,22,NA,NA,NA,NA,NA,SE,Cloudy,SE,Cloudy,1940-01-02,NA,Stillwater,Payne,Okla,36,97
3,34,22,12,26,0.5625,DYL,NA,NA,NA,SE,Cloudy,SE,Cloudy,1940-01-03,1940-01-03T13:30:00Z,Stillwater,Payne,Okla,36,97
4,32,21,11,25,NA,NA,0.27,3,3,NE,Cloudy,NE,Cloudy,1940-01-04,NA,Stillwater,Payne,Okla,36,97
5,25,6,19,10,0.875,-,NA,1,4,NE,Cloudy,NE,Cloudy,1940-01-05,1940-01-05T21:00:00Z,Stillwater,Payne,Okla,36,97
6,22,9,13,20,-,0.79166666666666663,7.0000000000000007E-2,2,6,NE,Cloudy,NE,Cloudy,1940-01-06,NA,Stillwater,Payne,Okla,36,97
7,20,5,15,5,NA,NA,0.28999999999999998,NA,6,NW,PartlyCloudy,NW,PartlyCloudy,1940-01-07,NA,Stillwater,Payne,Okla,36,97
8,27,-5,32,15,NA,NA,NA,NA,6,NW,Clear,NW,Clear,1940-01-08,NA,Stillwater,Payne,Okla,36,97
9,40,15,25,35,NA,NA,NA,NA,4,SE,Cloudy,SE,PartlyCloudy,1940-01-09,NA,Stillwater,Payne,Okla,36,97
10,39,32,7,31,NA,NA,NA,NA,2.5,NW,Cloudy,NW,Cloudy,1940-01-10,NA,Stillwater,Payne,Okla,36,97
11,34,25,9,30,NA,NA,NA,NA,1,NW,Cloudy,NW,Cloudy,1940-01-11,NA,Stillwater,Payne,Okla,36,97
12,39,17,22,34,NA,NA,NA,NA,0.38,NW,Cloudy,NW,Cloudy,1940-01-12,NA,Stillwater,Payne,Okla,36,97
13,42,27,15,25,0.54166666666666663,DYL,NA,NA,0.38,NW,Cloudy,NW,Cloudy,1940-01-13,1940-01-13T13:00:00Z,Stillwater,Payne,Okla,36,97
14,35,14,21,27,NA,NA,0.01,0.12,0.5,NW,Clear,NW,Clear,1940-01-14,NA,Stillwater,Payne,Okla,36,97
15,41,14,27,34,NA,NA,NA,NA,T,NW,Clear,NW,Clear,1940-01-15,NA,Stillwater,Payne,Okla,36,97
16,51,26,25,34,NA,NA,NA,NA,T,SW,Clear,SW,Clear,1940-01-16,NA,Stillwater,Payne,Okla,36,97
17,45,22,23,20,NA,NA,NA,NA,T,NE,Clear,NE,Clear,1940-01-17,NA,Stillwater,Payne,Okla,36,97
18,20,7,13,0,0.33333333333333331,0.45833333333333331,NA,NA,T,NW,Cloudy,NE,Cloudy,1940-01-18,1940-01-18T08:00:00Z,Stillwater,Payne,Okla,36,97
19,23,-1,24,18,NA,NA,T,NA,T,NW,PartlyCloudy,NW,Clear,1940-01-19,NA,Stillwater,Payne,Okla,36,97
20,25,5,20,18,NA,NA,NA,NA,T,NW,Clear,NW,Clear,1940-01-20,NA,Stillwater,Payne,Okla,36,97
21,18,4,14,11,NA,NA,NA,NA,T,NW,PartlyCloudy,NW,PartlyCloudy,1940-01-21,NA,Stillwater,Payne,Okla,36,97
22,27,8,19,22,0.75,DN,NA,NA,T,NW,PartlyCloudy,NW,PartlyCloudy,1940-01-22,1940-01-22T18:00:00Z,Stillwater,Payne,Okla,36,97
23,22,11,11,19,NA,NA,0.01,0.2,0.2,NW,Clear,NW,Clear,1940-01-23,NA,Stillwater,Payne,Okla,36,97
24,11,6,5,9,NA,NA,NA,NA,T,NW,Cloudy,NW,PartlyCloudy,1940-01-24,NA,Stillwater,Payne,Okla,36,97
25,15,1,14,11,NA,NA,NA,NA,T,NW,PartlyCloudy,NW,Clear,1940-01-25,NA,Stillwater,Payne,Okla,36,97
26,25,6,19,15,NA,NA,NA,NA,T,NW,Clear,NW,Clear,1940-01-26,NA,Stillwater,Payne,Okla,36,97
27,37,5,32,32,NA,NA,NA,NA,T,SW,Clear,SW,Clear,1940-01-27,NA,Stillwater,Payne,Okla,36,97
28,50,17,33,40,NA,NA,NA,NA,T,SW,PartlyCloudy,SW,PartlyCloudy,1940-01-28,NA,Stillwater,Payne,Okla,36,97
29,51,20,31,48,NA,NA,NA,NA,NA,NW,Clear,NW,Clear,1940-01-29,NA,Stillwater,Payne,Okla,36,97
30,49,19,30,39,NA,NA,NA,NA,NA,NW,Clear,NW,Clear,1940-01-30,NA,Stillwater,Payne,Okla,36,97
31,56,23,33,50,NA,NA,NA,NA,NA,SW,Clear,SW,Clear,1940-01-31,NA,Stillwater,Payne,Okla,36,97
